"
Старший менеджер офиса регионального развития, г. Атырау","Международный технопарк IT стартапов Astana Hub в поисках старшего регионального менеджера в офис регионального развития."
"
Старший менеджер в офис программ финансирования","Международный технопарк IT стартапов Astana Hub в поисках старшего менеджера в офис программ финансирования."
"
Внутренний аудитор","Международный технопарк IT стартапов в поисках внутреннего аудитора."
"
Требуется дизайнер интерьера офисов","Дизайнер интерьера офисов"
"
Senior Java Developer","QazCode создает цифровые продукты и услуги для местных казахстанских и международных клиентов. Дочерняя компания Beeline Kazakhstan, входит в группу VEON."
"
Customer Support Engineer","Support Engineer for customers in the USA (no calls, only messages)"
"
BPM инженер","1. Описание бизнес-процессов и бизнес-требований;
2. Взаимодействие с заказчиками.
3. Настройка процессов в AlmexECM"
"
Resource Manager","At the moment, we’re in search of an experienced Resource Manager to be in charge of resource planning and allocation, ensuring optimal utilization of company’s"
"
Middle & Senior Fullstack Web Developer","Разработка и поддержка веб приложений и сайтов в 12 странах на 8 языках. Мы удаленная англоговорящая inhouse команда веб разработки."
"
Бухгалтер","Akhter Engineering в поиске бухгалтера, г. Алматы"
"
Team Lead !","Global AEON is seeking for a Team Lead !"
"
Full Stack Developer !","Full Stack Developer 

- Backend: Nginx, Golang, PHP, PostgreSql, MySql, MongoDB, Redis, RabbitMQ, Docker, REST, SOAP, WebServices, AWS 
- Frontend: NodeJS, Exp"
"
Менеджер по продвижению и развитию продукта","Компания:
re:Kassa – это бесплатная касса для предпринимателей в виде мобильного приложения. Сейчас это самый популярный кассовый аппарат в Казахстане, с долей"
"
Product manager","Проект в агросфере, сайт и приложения"
"
Backend разработчик","В поисках Backend Developer"
"
Frontend Developer","В поисках junior фронтенд разработчика"
"
Product Manager в офис IT-продуктов","Международный технопарк IT стартапов в поисках Product Manager в офис IT-продуктов."
"
Senior Backend-разработчик в офис разработки","Разработка и дальнейшая техническая поддержка мобильного приложения для КФ «Международный технопарк IT - стартапов «Astana Hub»."
"
Senior Flutter-разработчик в офис разработки","Международный технопарк IT стартапов в поисках Senior Flutter-разработчика в офис разработки."
"
Системный аналитик в офис IT-продуктов","Международный технопарк IT стартапов Astana Hub в поисках системного аналитика в офис IT-продуктов."
"
Продуктовый аналитик в офис IT-продуктов","Ищем талантливого продукт аналитика в команду IT продуктов в международный технопарк IT стартапов."
"
Главный менеджер в офис регионального развития","Международный технопарк IT стартапов Astana Hub в поисках главного менеджера в офис регионального развития."
